Advertiser,Upload Date,Before,After
apple,11-04-19,47,46
mcdonalds,01-04-19,66,64
Grand Velas Riviera Nayarit,12-09-18,10,33
apple,28-03-19,59,49
synchronybank,12-04-19,74,75
honda passport,14-04-19,68,70
grammarly,20-11-18,53,88
wikibuy,02-08-18,22,21
apple,28-03-19,59,49
southwest,17-04-19,64,62
nytimes,13-12-18,51,53
clinique,29-03-19,92,79
groupon,15-02-18,67,67
geico,22-02-19,94,99
Ford,01-03-19,60,60
impeach trump,26-09-18,16,11
calvinklein,04-04-19,52,51
Phil Pustejovsky,15-08-16,53,40
harley davidson,02-01-19,47,42
wework,26-03-19,67,77
Love Beauty and Planet,20-04-18,100,96
guardians of ember,20-03-19,14,44
kensington,11-12-18,46,42
National Pork board,27-09-17,33,25
geico,14-01-19,100,98
roomba i7,17-04-19,9,12
sony playstation,08-04-19,36,43
apple,21-03-19,50,59
desert order,03-03-19,60,91
skechers,01-04-19,53,71
sensodyne,09-01-19,83,91
adultswim,07-04-19,47,0
cabotlinks,10-04-19,10,35
carvana,09-04-19,83,84
Dove Deodorant wipes,05-04-19,70,47
Canada,24-09-18,75,73
oldnavy,09-04-19,36,40
apple,11-04-19,47,46
apple,11-04-19,47,46
apple,14-04-19,47,46
grammarly,11-02-19,88,82
xyzal,12-03-19,37,47
Risk of Rain 2,04-04-19,1,100
apple,14-04-19,47,46
Grammerly,14-02-19,77,100
whitehouseblackmarket,27-02-19,62,45
apple,21-03-19,50,59
cumberland farms,05-04-19,39,38
expedia,19-02-19,87,87
stitchfix,11-03-19,0,0
hersheys,01-02-19,45,57
toyota,08-04-19,91,91
expedia,02-01-19,82,88
deals torquedetail,09-04-19,41,53
grammarly,14-02-19,82,85
geico,24-02-19,94,99
vudu,26-03-19,61,61
dell,15-03-19,72,68
snickers tumblr,11-03-19,32,44
farmers,31-03-19,39,63
mortal kombat 11,08-04-19,59,62
oldnavy,16-04-19,40,44
Finder Keeper Candy,05-02-19,0,0
frostpunkgame,12-04-19,12,9
ortho groundclear,17-04-19,100,20
sunbasket,11-04-19,0,0
marriott,28-03-19,86,86
flonase,14-04-19,95,87
grammarly,27-02-19,85,94
